sample_id,nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O],regression_target,classification_target
79-01-6,3,0.0,0.32,0.41,2.08,0.2,0,0,0,1.16,1
100-40-3,0,0.0,0.52,0.25,2.65,1.31,0,0,0,2.24,1
76738-62-0,1,5.686,1.63,0.22,3.77,2.27,0,1,2,1.64,1
95-94-3,4,0.0,1.25,0.24,4.63,0.6,0,0,0,3.57,1
1763-23-1,1,3.219,0.12,0.12,3.88,1.18,0,0,3,3.73,2
315-18-4,0,3.684,1.31,0.18,1.85,1.85,1,1,5,1.42,1
938-86-3,4,0.0,1.26,0.21,3.91,0.77,0,0,1,3.51,1
1746-81-2,1,3.876,1.24,0.17,2.09,1.21,2,1,4,1.15,1
103-50-4,0,5.03,2.09,0.18,3.39,1.64,0,0,4,2.48,1
3337-71-1,1,4.15,1.38,0.21,-0.26,1.09,1,1,6,-0.12,1
121-73-3,1,0.0,1.49,0.17,2.51,0.71,0,1,4,1.89,2
94-52-0,0,5.55,2.32,0.13,1.37,0.89,0,1,4,0.32,1
141-93-5,0,0.0,1.22,0.21,3.56,1.81,0,0,0,2.77,1
98-73-7,0,0.0,1.32,0.22,2.95,1.52,0,0,4,0.5,3
"57837-19-1,70630-17-0",0,5.062,1.27,0.17,1.91,2.26,1,1,11,0.84,1
42576-02-3,2,6.745,2.46,0.16,3.72,1.6,0,1,13,3.18,1
60-57-1/72-20-8,6,6.201,0.34,0.22,4.45,1.81,0,0,2,3.89,1
112-40-3,0,1.386,0.0,0.38,5.4,3.25,0,0,0,2.59,3
79-46-9,0,0.0,0.41,0.23,0.73,0.8,0,1,0,0.62,1
68085-85-8,1,6.517,2.46,0.17,4.22,2.87,0,1,13,3.29,3
121-14-2,0,0.0,1.7,0.14,2.24,0.99,0,1,10,0.9,1
2460-49-3,2,0.0,1.25,0.18,2.43,0.79,0,0,3,1.98,1
52-68-6,4,0.0,0.13,0.38,0.49,0.76,0,0,2,-0.39,3
108-36-1,2,0.0,1.23,0.33,3.8,0.63,0,0,0,2.8,1
1825-21-4,5,0.0,1.27,0.21,4.19,0.76,0,0,1,4.16,1
5598-13-0,5,4.275,1.29,0.29,2.64,1.01,0,1,3,3.26,1
79-00-5,3,0.0,0.0,0.53,2.23,0.33,0,0,0,0.62,1
104294-16-8,5,6.219,2.31,0.2,5.22,1.23,0,0,2,3.95,3
314-40-9,1,2.197,0.61,0.21,1.8,1.79,2,1,7,0.6,1
64628-44-0,1,5.58,2.08,0.14,3.08,1.74,2,1,6,2.79,3
1570-64-5,1,0.0,1.24,0.2,2.46,0.84,0,0,1,1.28,1
6936-40-9,4,0.0,1.26,0.21,3.91,0.77,0,0,1,3.69,1
35694-08-7,8,6.853,2.34,0.21,6.93,1.18,0,0,0,5.81,2
119-64-2,0,4.375,2.37,0.17,3.39,1.06,0,0,0,2.5,1
100-61-8,0,0.0,1.22,0.18,1.86,0.92,0,1,0,0.83,1
95-77-2,2,0.0,1.24,0.2,2.73,0.63,0,0,1,1.75,1
1689-84-5,2,0.0,1.52,0.24,2.65,0.69,0,1,1,0.84,3
109-69-3,1,0.0,0.0,0.47,2.23,1.07,0,0,0,1.22,1
82-68-8,5,0.0,1.49,0.19,4.29,0.67,0,1,4,2.74,3
33284-54-7,4,6.241,2.31,0.2,5.99,1.23,0,0,0,4.71,1
106-47-8,1,0.0,1.23,0.2,2.13,0.68,0,1,0,0.72,1
50-30-6,2,0.0,1.39,0.18,2.89,0.74,0,0,4,0.02,3
51235-04-2,0,4.143,0.55,0.19,2.29,2.43,2,1,4,0.84,1
70-30-4,6,6.551,2.35,0.2,4.8,1.4,0,0,4,2.1,3
124495-18-7,2,7.4,3.39,0.16,4.3,1.58,0,1,3,3.7,1
36335-67-8,2,4.995,1.47,0.27,3.07,2.73,0,1,13,2.46,3
544-01-4,0,0.0,0.0,0.36,2.89,2.33,0,0,4,2.3,3
67-66-3,3,0.0,0.0,0.74,1.82,0.14,0,0,0,0.96,1
680-31-9,1,0.0,0.14,0.43,1.35,1.35,0,0,0,-0.55,3
84-51-5,0,7.15,2.65,0.15,3.4,2.03,0,0,10,1.6,3
1506-02-1,0,5.752,1.34,0.23,4.82,2.9,0,0,3,2.78,3
43121-43-3,1,5.736,1.67,0.2,3.32,2.0,0,1,7,1.81,1
129630-19-9,2,6.917,2.16,0.15,3.12,2.2,0,1,7,0.38,3
65733-16-6,0,3.85,0.9,0.26,3.97,3.58,0,0,7,2.66,3
110-00-9,0,0.0,0.95,0.16,0.16,0.44,0,0,0,0.52,1
98-54-4,0,0.0,1.19,0.24,2.81,1.42,0,0,1,1.79,1
60-51-5,3,0.0,0.26,0.59,-0.76,1.03,1,1,2,0.18,1
95-63-6,0,0.0,1.24,0.22,3.26,1.26,0,0,0,2.17,1
87-83-2,5,0.0,1.27,0.34,5.87,0.8,0,0,0,2.45,3
55219-65-3,1,5.686,1.63,0.2,3.41,2.07,0,1,7,1.32,3
2921-88-2,5,4.66,1.25,0.28,3.21,1.84,0,1,7,3.1,1
25154-54-5,0,4.808,1.77,0.13,1.89,0.8,0,1,8,1.16,1
122008-85-9,0,6.522,2.46,0.16,3.37,2.98,0,1,8,0.88,3
13358-11-7,0,5.72,0.46,0.22,4.25,4.51,1,1,10,3.07,3
62-53-3,0,0.0,1.23,0.18,1.51,0.69,0,1,0,0.26,1
56-38-2,2,4.78,1.42,0.25,2.22,2.01,0,1,13,2.05,3
96-96-8,0,0.0,1.49,0.14,1.18,0.92,0,1,5,0.79,1
98886-44-3,3,2.197,0.23,0.42,0.64,2.35,1,1,7,0.5,1
51630-58-1,1,6.554,2.94,0.18,4.83,3.14,0,1,15,3.01,3
950-37-8,4,3.555,0.54,0.45,-0.27,1.12,1,1,1,0.72,1
873-63-2,1,0.0,1.23,0.2,2.19,0.82,0,0,2,1.32,1
50-32-8,0,9.316,5.33,0.15,5.55,2.05,0,0,0,2.73,3
38380-03-9,5,6.405,2.34,0.21,6.23,1.21,0,0,0,5.18,2
133-06-2,4,4.234,0.55,0.3,1.82,1.42,1,1,6,1.98,1
33576-92-0,2,3.446,1.23,0.32,1.6,1.12,0,0,5,1.89,1
3813-05-6,2,5.247,1.47,0.19,1.6,1.09,1,1,7,1.56,2
583-78-8,2,0.0,1.24,0.2,2.73,0.63,0,0,1,1.11,3
66063-05-6,1,5.704,1.72,0.2,4.0,2.79,2,1,5,2.35,3
14816-18-3,2,5.059,1.65,0.26,1.85,2.17,0,1,8,2.89,1
622-57-1,0,0.0,1.21,0.2,2.51,1.49,0,1,0,0.52,3
85-01-8,0,7.71,3.53,0.16,4.33,1.47,0,0,0,3.36,1
59669-26-0,3,3.611,0.64,0.27,0.52,1.82,2,1,4,0.8,1
93-76-5,3,4.239,1.33,0.19,2.91,0.91,0,0,3,1.38,3
119-47-1,0,6.711,2.32,0.23,5.15,3.39,0,0,10,2.67,3
1194-65-6,2,0.0,1.56,0.19,2.96,0.7,0,1,0,2.0,1
129-00-0,0,8.699,4.16,0.15,4.76,1.65,0,0,0,2.97,1
74223-64-6,1,5.951,2.28,0.17,1.67,2.0,2,1,12,0.0,3
74070-46-5,1,6.278,2.38,0.15,2.99,1.4,0,1,6,3.46,2
62-44-2,0,3.056,1.31,0.17,1.68,1.6,1,1,3,1.23,2
121-92-6,0,0.0,1.6,0.13,1.64,0.83,0,1,8,0.6,1
57-15-8,3,0.0,0.0,0.36,1.94,0.72,0,0,0,0.27,3
85509-19-9,1,6.673,2.14,0.28,5.39,2.09,0,1,0,2.4,1
17804-35-2,0,6.553,2.29,0.15,1.66,2.42,2,1,3,1.43,1
57117-41-6,5,7.969,3.25,0.18,5.22,1.2,0,0,2,3.58,3
616-44-4,1,0.0,0.95,0.3,1.58,0.64,0,0,0,0.72,3
760-23-6,2,0.0,0.21,0.36,2.46,0.56,0,0,0,0.86,1
75-65-0,0,0.0,0.0,0.36,0.8,0.8,0,0,0,0.54,1
84-87-7,1,6.791,2.57,0.19,1.44,1.15,0,0,12,1.11,2
575-41-7,0,6.423,2.38,0.18,3.96,1.46,0,0,0,3.37,1
57117-43-8,5,7.969,3.27,0.18,5.22,1.21,0,0,2,3.57,3
86-74-8,0,7.233,3.24,0.15,2.86,1.31,0,1,0,2.18,1
335-76-2,0,3.332,0.06,0.1,5.12,1.33,0,0,2,2.65,2
2655-14-3,0,3.27,1.31,0.17,1.82,1.44,1,0,5,0.35,3
527-20-8,5,0.0,1.27,0.22,3.91,0.64,0,1,0,2.71,3
2385-85-5,12,6.405,0.0,0.23,6.52,1.3,0,0,0,4.31,1
556-67-2,4,0.0,0.0,0.73,-0.64,2.33,0,0,16,4.08,1
2437-79-8,4,6.366,2.33,0.21,5.99,1.22,0,0,0,4.39,1
24579-73-5,0,1.386,0.12,0.25,0.73,2.1,1,1,3,1.73,2
60145-21-3,5,6.386,2.37,0.21,6.23,1.21,0,0,0,4.58,1
82097-50-5,2,5.765,2.18,0.18,1.91,2.14,2,1,7,0.11,1
2312-35-8,1,5.43,1.27,0.23,3.27,3.09,0,0,10,4.14,2
115-29-7,7,5.231,0.44,0.24,3.12,1.39,0,0,8,3.44,2
121-82-4,0,0.0,0.62,0.13,1.4,0.92,0,1,0,0.3,1
1582-09-8,0,5.411,1.58,0.15,4.21,2.61,0,1,8,3.44,1
95-56-7,1,0.0,1.24,0.23,2.3,0.65,0,0,1,1.52,1
119738-06-6,1,7.44,3.41,0.16,2.73,3.13,0,1,11,2.53,1
2164-17-2,0,4.467,1.28,0.15,2.52,1.34,2,1,2,1.61,1
13286-32-3,2,4.559,1.15,0.36,2.25,2.12,0,0,7,1.51,3
7012-37-5,3,6.263,2.3,0.2,5.47,1.23,0,0,0,4.33,1
133-07-3,4,5.433,1.45,0.27,2.57,1.05,1,1,6,1.75,1
92-77-3,0,7.17,3.29,0.15,3.92,1.85,1,1,6,0.76,3
961-11-5,5,4.931,1.36,0.24,4.46,1.27,0,0,8,1.63,3
300-76-5,5,0.0,0.12,0.44,2.36,0.76,0,0,3,0.93,1
56-35-9,2,2.944,0.0,1.15,6.32,6.83,0,0,6,3.99,2
89-61-2,2,0.0,1.5,0.18,3.11,0.7,0,1,4,2.05,1
16517-11-6,0,4.605,0.03,0.1,8.32,2.4,0,0,2,2.65,2
108-78-1,0,0.0,1.24,0.12,-0.02,0.55,0,0,0,0.33,1
510-15-6,2,6.063,1.96,0.17,3.93,2.09,0,0,14,2.71,3
90-94-8,0,6.188,2.19,0.18,3.42,2.18,0,1,4,1.52,3
83164-33-4,0,6.87,3.48,0.13,4.24,2.1,1,1,6,3.11,1
59039-21-3,3,6.019,2.24,0.19,4.72,1.25,0,0,2,3.79,1
1712-70-5,1,0.0,1.36,0.21,3.74,1.03,0,0,0,2.87,1
1014-70-6,1,3.056,1.22,0.19,2.27,1.88,0,1,0,0.31,3
122-34-9,1,2.409,1.22,0.17,2.27,1.71,0,1,0,0.84,1
134098-61-6,0,6.747,3.7,0.18,4.08,3.29,0,1,13,3.2,1
18708-70-8,3,0.0,1.5,0.19,3.7,0.68,0,1,4,2.6,1
96-12-8,3,0.0,0.0,0.63,2.96,0.52,0,0,0,1.11,3
144-19-4,0,0.0,0.0,0.3,1.39,1.65,0,0,1,-0.16,3
99-71-8,0,0.0,1.19,0.21,2.81,1.69,0,0,1,1.35,3
99387-89-0,1,6.564,2.37,0.16,3.77,2.28,0,1,3,2.59,2
86-73-7,0,6.545,2.48,0.17,4.15,1.44,0,0,0,2.77,1
15972-60-8,1,4.808,1.32,0.19,3.18,2.45,1,1,5,1.12,3
88-06-2,3,0.0,1.25,0.21,3.31,0.62,0,0,1,1.92,3
2597-03-7,3,4.676,1.14,0.4,1.64,1.97,0,0,9,1.8,3
141112-29-0,1,6.676,2.3,0.19,2.86,2.06,0,1,10,1.04,1
40321-76-4,5,7.275,2.49,0.18,4.33,1.22,0,0,4,4.26,1
634-91-3,3,0.0,1.25,0.21,3.31,0.65,0,1,0,2.36,1
91-57-6,0,6.29,2.37,0.18,3.68,1.26,0,0,0,2.49,1
124-11-8,0,0.0,0.16,0.36,4.38,2.08,0,0,0,3.18,3
34883-41-5,2,6.099,2.28,0.2,4.95,1.25,0,0,0,3.44,1
732-11-6,3,5.671,1.48,0.35,1.02,1.52,1,1,4,0.41,3
65-85-0,0,0.0,1.36,0.15,1.7,0.77,0,0,4,1.0,1
1689-83-4,2,0.0,1.52,0.28,2.94,0.69,0,1,1,1.46,3
95465-99-9,3,0.0,0.11,0.64,2.68,2.83,0,0,9,2.34,1
1918-02-1,3,0.0,1.38,0.17,1.12,0.7,0,1,4,-1.7,3
504-24-5,0,0.0,1.23,0.16,-0.15,0.61,0,1,0,0.44,1
106-93-4,2,0.0,0.0,0.98,2.23,0.39,0,0,0,0.93,1
120-82-1,3,0.0,1.24,0.23,4.06,0.61,0,0,0,3.19,1
4640-01-1,3,6.193,2.31,0.18,4.09,1.41,0,0,5,3.5,1
944-61-6,4,2.151,1.27,0.19,3.31,0.94,0,0,4,4.4,2
535-77-3,0,0.0,1.22,0.24,3.56,1.56,0,0,0,2.75,1
42874-03-3,1,6.709,2.4,0.14,4.12,2.04,0,1,7,3.21,1
91-17-8/493-01-6/493-02-7,0,2.565,0.0,0.29,4.43,2.28,0,0,0,3.37,1
56-72-4,3,6.501,1.75,0.23,3.17,2.45,0,0,14,2.73,1
2668-24-8,3,0.0,1.26,0.19,2.74,0.78,0,0,3,2.07,1
298-06-6,3,0.0,0.16,0.66,0.18,1.31,0,0,2,0.45,1
886-50-0,1,3.726,1.21,0.23,2.89,2.07,0,1,0,1.95,3
504-29-0,0,0.0,1.23,0.16,0.67,0.62,0,1,0,1.04,2
2642-71-9,3,6.099,1.77,0.34,1.48,2.33,1,1,4,2.27,1
98-08-8,0,0.0,1.19,0.13,3.37,0.78,0,0,0,1.67,1
92-52-4,0,5.732,2.28,0.17,3.88,1.29,0,0,0,2.64,1
112281-77-3,2,5.894,1.61,0.16,4.28,1.78,0,1,2,1.55,3
7085-19-0,1,4.123,1.3,0.18,2.38,1.4,0,0,3,0.48,3
76-87-9,1,6.711,2.33,0.46,4.95,2.07,0,0,6,3.49,2
118-74-1,6,0.0,1.27,0.23,5.21,0.59,0,0,0,4.27,1
13029-08-8,2,5.991,2.35,0.19,4.95,1.26,0,0,0,3.64,1
298-04-4,4,1.099,0.12,0.68,1.65,2.3,0,0,4,2.48,1
639-58-7,2,6.711,2.33,0.58,6.2,2.06,0,0,0,3.14,1
37680-65-2,3,6.149,2.35,0.2,5.47,1.24,0,0,0,4.23,1
33089-61-1,0,6.186,3.28,0.19,4.9,2.58,0,1,0,3.26,3
25321-09-9,0,3.446,1.25,0.25,4.14,2.06,0,0,0,3.26,1
5510-99-6,0,3.596,1.23,0.22,3.92,2.73,0,0,5,2.47,3
93-72-1,3,4.343,1.31,0.19,3.2,1.17,0,0,3,1.76,3
920-66-1,0,0.0,0.0,0.1,1.59,0.45,0,0,0,0.32,1
101-21-3,1,3.726,1.25,0.2,2.38,1.52,1,1,6,2.16,1
118-83-2,1,4.523,1.49,0.14,3.58,0.83,0,1,6,1.95,1
198-55-0,0,9.298,5.29,0.15,5.55,2.06,0,0,0,2.38,3
95-82-9,2,0.0,1.24,0.21,2.73,0.66,0,1,0,1.24,1
13540-50-6,0,5.901,2.25,0.2,4.67,1.87,0,0,0,3.23,3
80-05-7,0,5.901,2.1,0.18,3.31,1.84,0,0,2,1.52,3
41464-41-9,4,6.263,2.38,0.2,5.99,1.23,0,0,0,4.46,1
260-94-6,0,7.744,3.53,0.15,3.05,1.39,0,1,0,2.25,1
731-27-1,4,4.343,1.19,0.31,2.85,1.56,0,1,6,1.87,3
96-18-4,3,0.0,0.0,0.43,2.6,0.52,0,0,0,1.07,1
72490-01-8,0,6.08,2.21,0.16,2.37,2.48,1,1,7,2.33,3
108-86-1,1,0.0,1.23,0.28,3.05,0.65,0,0,0,1.4,1
606-28-0,0,6.113,2.39,0.15,3.39,1.65,0,0,11,1.01,3
92-86-4,2,6.196,2.27,0.24,5.2,1.25,0,0,0,3.96,1
767-00-0,0,0.0,1.53,0.15,1.16,0.72,0,1,1,0.91,1
84-74-2,0,5.089,1.42,0.19,3.62,3.02,0,0,16,2.23,3
79538-32-2,1,5.536,1.49,0.16,5.87,2.32,0,0,9,3.48,3
554-84-7,0,0.0,1.49,0.14,1.35,0.72,0,1,5,1.4,1
71-43-2,0,0.0,0.0,0.35,3.12,1.5,0,0,0,0.63,1
95-78-3,0,0.0,1.24,0.2,2.19,1.09,0,1,0,0.54,1
591-20-8,1,0.0,1.23,0.24,2.3,0.64,0,0,1,1.1,1
98-83-9,0,0.0,1.36,0.2,3.17,1.05,0,0,0,1.89,1
3380-34-5,3,6.124,2.28,0.18,3.84,1.25,0,0,4,1.7,3
99-99-0,0,0.0,1.49,0.16,2.24,0.92,0,1,4,0.91,1
100-42-5,0,0.0,1.4,0.18,2.85,0.86,0,0,0,1.13,3
131807-57-3,0,6.895,2.96,0.15,3.26,2.62,1,1,11,3.48,1
110-82-7,0,0.0,1.22,0.19,2.26,0.67,0,0,0,1.94,1
108-88-3,0,0.0,1.23,0.21,2.61,0.86,0,0,0,0.92,3
92-69-3,0,5.932,2.27,0.16,3.13,1.28,0,0,1,1.64,1
111-94-4,0,0.0,0.58,0.22,-0.38,1.1,0,1,0,-0.13,1
2539-17-5,4,0.0,1.27,0.19,3.03,0.78,0,0,3,2.56,3
74-97-5,2,0.0,0.0,1.58,1.6,0.14,0,0,0,0.53,1
115-28-6,6,4.007,0.52,0.21,2.62,1.16,0,0,16,0.08,3
634-66-2,4,0.0,1.26,0.23,4.63,0.61,0,0,0,3.52,1
32598-13-3,4,6.477,2.28,0.2,5.99,1.22,0,0,0,4.35,1
67-72-1,6,0.0,0.0,0.46,3.29,0.28,0,0,0,2.42,1
41464-39-5,4,6.326,2.35,0.2,5.99,1.23,0,0,0,4.84,2
97-23-4,2,6.157,2.3,0.18,3.84,1.44,0,0,4,2.19,3
56348-72-2,4,6.188,2.23,0.2,4.97,1.24,0,0,2,4.43,1
3319-31-1,0,6.081,1.36,0.23,6.63,7.19,0,0,25,0.6,3
102-70-5,0,0.0,0.43,0.23,2.24,1.3,0,1,0,0.54,3
5124-25-4,1,6.906,3.02,0.18,3.14,2.17,0,1,12,1.58,3
32598-10-0,4,6.386,2.31,0.21,5.99,1.22,0,0,0,4.56,1
55-38-9,3,4.007,1.26,0.32,2.49,1.47,0,0,6,2.39,1
30560-19-1,2,0.0,0.29,0.5,-0.76,0.84,1,1,2,-1.52,3
86-87-3,0,6.589,2.48,0.16,2.79,1.36,0,0,4,0.29,3
76-03-9,3,0.0,0.19,0.34,1.0,0.26,0,0,0,0.13,1
95-76-1,2,0.0,1.24,0.21,2.73,0.66,0,1,0,1.13,1
96-29-7,0,0.0,0.31,0.24,0.59,0.97,0,1,1,0.44,1
74115-24-5,2,7.199,3.33,0.16,5.07,1.6,0,1,0,2.39,1
791-31-1,1,6.711,2.33,0.27,4.95,2.07,0,0,6,2.85,3
54135-80-7,3,0.0,1.25,0.2,3.62,0.78,0,0,1,2.96,1
105-06-6,0,0.0,1.53,0.17,3.39,1.06,0,0,0,2.48,1
142459-58-3,1,5.244,1.74,0.17,3.3,2.11,1,1,8,1.85,1
33857-26-0,2,6.975,2.48,0.16,3.05,1.25,0,0,4,2.47,3
5902-51-2,1,0.0,0.61,0.21,1.65,1.52,2,1,9,0.78,1
10453-86-8,0,6.117,2.15,0.2,3.91,3.06,0,0,10,3.55,3
935-95-5,4,0.0,1.26,0.21,3.62,0.61,0,0,1,2.15,1
3811-49-2,2,5.154,1.35,0.28,1.21,1.11,0,0,5,1.35,1
6731-36-8,0,3.434,0.0,0.27,3.87,3.39,0,0,14,3.99,3
66246-88-6,2,5.596,1.79,0.21,4.6,2.15,0,1,0,1.97,1
479-27-6,0,6.423,2.39,0.16,2.02,1.13,0,1,0,0.78,1
118-91-2,1,0.0,1.38,0.17,2.3,0.75,0,0,4,0.75,1
554-00-7,2,0.0,1.24,0.21,2.73,0.66,0,1,0,1.38,1
2050-67-1,2,6.149,2.29,0.2,4.95,1.25,0,0,0,2.63,3
626-39-1,3,0.0,1.24,0.36,4.51,0.61,0,0,0,3.62,1
96-69-5,1,6.692,2.3,0.24,5.47,3.23,0,0,10,0.82,3
69806-40-2/72619-32-0,1,6.501,2.31,0.14,3.41,2.04,0,1,6,1.23,3
106-42-3,0,0.0,1.23,0.22,2.94,1.06,0,0,0,1.17,3
76-93-7,0,5.614,2.02,0.15,2.41,1.55,0,0,12,0.02,3
13674-84-5,4,0.0,0.1,0.29,3.23,2.01,0,0,18,0.69,3
16219-75-3,0,0.0,0.63,0.22,2.96,1.46,0,0,0,2.05,3
34014-18-1,1,2.409,1.02,0.24,1.24,1.69,2,1,0,0.42,1
119-93-7,0,6.477,2.28,0.17,3.05,1.74,0,1,0,1.64,1
119-56-2,1,5.768,2.15,0.18,3.66,1.44,0,0,4,1.82,3
591-35-5,2,0.0,1.24,0.21,2.73,0.62,0,0,1,1.92,1
76-83-5,1,6.711,2.33,0.18,5.63,2.06,0,0,0,2.63,3
120-12-7,0,7.744,3.53,0.16,4.33,1.46,0,0,0,3.26,1
105-67-9,0,0.0,1.24,0.19,2.19,1.06,0,0,1,1.18,1
107-39-1,0,0.0,0.17,0.37,3.15,1.38,0,0,0,2.81,1
618-62-2,2,0.0,1.49,0.18,3.11,0.69,0,1,4,2.23,1
128639-02-1,2,6.425,1.66,0.16,4.34,2.36,2,1,6,2.25,1
634-83-3,4,0.0,1.26,0.21,3.62,0.64,0,1,0,2.21,3
82560-54-1,1,5.557,1.3,0.21,2.25,3.66,1,1,8,1.95,3
2310-17-0,4,5.502,1.35,0.34,1.66,2.25,1,1,5,2.26,3
1918-16-7,1,2.784,1.2,0.2,2.82,1.68,1,1,4,1.57,1
115-32-2,5,5.901,1.97,0.23,5.15,1.53,0,0,4,3.78,1
102-06-7,0,5.03,2.07,0.16,3.09,1.54,0,1,0,1.05,2
19044-88-3,1,5.524,1.72,0.19,1.96,2.59,0,1,12,1.88,3
92-70-6,0,6.711,2.5,0.14,2.72,1.16,0,0,6,0.46,3
127-18-4,4,0.0,0.34,0.4,2.46,0.21,0,0,0,1.78,1
59365-60-5,1,2.151,1.22,0.19,1.63,1.02,0,0,4,0.39,1
879-39-0,4,0.0,1.49,0.19,4.0,0.68,0,1,4,1.9,3
17700-09-3,3,0.0,1.49,0.18,3.7,0.69,0,1,4,2.2,1
5915-41-3,1,3.056,1.21,0.21,2.89,1.9,0,1,0,0.84,3
39515-41-8/64257-84-7,0,6.428,2.25,0.19,3.56,2.92,0,1,15,3.04,3
26644-46-2,6,4.043,0.16,0.29,1.4,1.86,2,1,2,0.0,3
109-09-1,1,0.0,1.23,0.19,1.11,0.57,0,1,0,1.03,2
